No,名称,北緯,東経,現在の市町村名,Link
19,福島県鹿島町（南屋形）,37.7122222,140.9761111,福島県南相馬市,https://www.city.soma.fukushima.jp/kankosite/index.html
20,茨城県水府村（御所内）,36.6608333,140.4791666,茨城県常陸太田市,http://www.kanko-hitachiota.com/page/dir000002.html
21,群馬県館林市（多々良）,36.2652777,139.5005555,群馬県館林市,https://www.utyututuji.jp/
22,埼玉県本庄市（都島）,36.2586111,139.1772222,埼玉県本庄市,https://www.honjo-kanko.jp/
23,埼玉県久喜市（所久喜）,36.0641666,139.6491666,埼玉県久喜市,https://www.kuki-kanko.jp/
24,埼玉県蓮田市（上平野）,36.0230555,139.6152777,埼玉県蓮田市,http://hasuda-kankokyokai.com/
25,千葉県大多喜町（上原）,35.2758333,140.2477777,千葉県大多喜町,"https://www.town.otaki.chiba.jp/index.cfm/10,html"
26,東京都青梅市（今寺、藤橋）,35.8041666,139.2983333,東京都青梅市,https://www.city.ome.tokyo.jp/site/omekanko/
27,神奈川県相模原市（田名）,35.5461111,139.3447222,神奈川県相模原市,https://www.e-sagamihara.com/
28,神奈川県伊勢原市（小易）,35.4172222,139.2713888,神奈川県伊勢原市,https://www.city.isehara.kanagawa.jp/kankou_guide/
29,新潟県岩室村（夏井）,37.7138888,138.8652777,新潟県新潟市,http://www.iwamurokankou.com/
30,新潟県津南町（結東）,36.9177777,138.635,新潟県津南町,https://tsunan.info/
31,新潟県高柳町（荻ノ島）,37.1988888,138.6269444,新潟県柏崎市,http://www.jonnobi-takayanagi.jp/
32,富山県平村（相倉）,36.4252777,136.9361111,富山県南砺市,https://gokayama-info.jp/
33,石川県小松市（日用）,36.3202777,136.4666666,石川県小松市,https://www.city.komatsu.lg.jp/kanko_bunka/2/5/9243.html
34,福井県宮崎村（宮崎）,35.9427777,136.0747222,福井県越前町,https://www.town-echizen.jp/
35,福井県越前町（梨子ヶ平）,35.9883333,135.9694444,福井県越前町,https://www.town-echizen.jp/spot/spot01Detail.php?id=264
36,山梨県都留市（十日市場）,35.5427777,138.8844444,山梨県都留市,https://tsuru-kankou.com/kanko/
37,山梨県上九一色村（富士ヶ嶺）,35.4191666,138.6211111,山梨県富士河口湖町,https://haveagood.holiday/spots/60602
38,山梨県忍野村（内野）,35.4594444,138.8572222,山梨県忍野村,http://www.oshino.jp/
39,長野県富士見町（立沢）,35.935,138.2494444,長野県富士見町,https://www.town.fujimi.lg.jp/life/1/
40,岐阜県加子母村（小郷）,35.7508333,137.3352777,岐阜県中津川市,https://nakatsugawa.town/tax_area/area-kashimo/
41,岐阜県白川村（萩町）,36.2583333,136.9077777,岐阜県白川村,https://shirakawa-go.gr.jp/
42,静岡県富士宮市（西富士）,35.3338888,138.5936111,静岡県富士宮市,https://fujinomiya.gr.jp/
43,静岡県湖西市（山口）,34.7083333,137.5280555,静岡県湖西市,https://hamanako-kosai.jp/guide/
44,静岡県菊川町（富田）,34.7919444,138.1058333,静岡県菊川市,https://kikugawakanko.com/
45,愛知県安城市（明治用水）,34.955,137.0219444,愛知県安城市,http://kanko.anjo-tanabata.jp/
46,三重県御浜町（阿田和）,33.7913888,136.0311111,三重県御浜町,http://www.mie-shokokai.or.jp/mihama/kankou/atawa_index.html
47,滋賀県五個荘町（金堂）,35.1544444,136.1808333,滋賀県東近江市,https://ja.biwako-visitors.jp/spot/detail/150
48,滋賀県甲良町（下之郷）,35.2030555,136.2547222,滋賀県甲良町,http://www.kouratown.jp/ikkrwebBrowse/material/files/group/22/map.pdf
49,京都府京都市（北嵯峨）,35.0313888,135.6805555,京都府京都市,https://www.kyoto-kankou.or.jp/culture/?act=detail&id=17&r=191ed60fe1d7890eaa7f227bec1491b9
50,京都府亀岡市（千歳）,35.0588888,135.5758333,京都府亀岡市,https://www.kameoka.info/
51,京都府丹後町（袖志）,35.7630555,135.2038888,京都府京丹後市,https://www.kyotango.gr.jp/sightseeing/685/
52,大阪府能勢町（大里）,34.9705555,135.4116666,大阪府能勢町,http://www.town-of-nose.jp/
53,奈良県明日香村（稲渕）,34.4547222,135.8238888,奈良県明日香村,http://www.pref.nara.jp/42455.htm
54,和歌山県桃山町（元）,34.2397222,135.3541666,和歌山県紀の川市,http://www.kanko-kinokawa.jp/tougenkyo/
55,和歌山県かつらぎ町（四郷）,34.3244444,135.48,和歌山県かつらぎ町,https://www.wakayama-kanko.or.jp/spots/181/
56,和歌山県清水町（西原）,34.0919444,135.4211111,和歌山県有田川町,http://ag-w.org/archives/71
57,鳥取県東郷町（東郷池）,35.4722222,133.9102777,鳥取県湯梨浜町,https://www.tottori-guide.jp/tourism/tour/view/136
58,鳥取県岸本町（大原千町）,35.385,133.4494444,鳥取県伯耆町,https://www.houki-town.jp/kanko/
59,鳥取県淀江町（高井谷）,35.4386111,133.4402777,鳥取県米子市,http://www.yonago-navi.jp/yonago/yodoe/sightseeing/
60,島根県斐川町（黒目）,35.4119444,132.8411111,島根県出雲市,https://www.izumo-kankou.gr.jp/
61,岡山県総社市（三須作山）,34.6669444,133.7711111,岡山県総社市,https://www.okayama-kanko.jp/spot/10795
62,広島県東広島市（吉川）,34.3925,132.6772222,広島県東広島市,https://www.city.higashihiroshima.lg.jp/kanko/kanko/index.html
63,広島県戸河内町（寺領）,34.6055555,132.2616666,広島県安芸太田町,https://gurutabi.gnavi.co.jp/a/a_2592/
64,山口県田布施町（砂田）,33.9547222,132.045,山口県田布施町,https://welcome-tabuse.com/areaguide/
65,山口県平生町（名切）,33.9075,132.0786111,山口県平生町,http://www.town.hirao.lg.jp/kanko/kanko/1457325390488.html
66,山口県むつみ村（伏馬）,34.4563888,131.6027777,山口県萩市,https://www.hagishi.com/spots/
67,徳島県日和佐町（赤松）,33.7752777,134.4977777,徳島県美波町,https://www.town.minami.lg.jp/foreign_country/jp/sightseeing.html
68,香川県豊浜町（豊浜）,34.0719444,133.6372222,香川県観音寺市,http://kanonji-kankou.jp/
69,愛媛県宇和島市（遊子）,33.1891666,132.4536111,愛媛県宇和島市,https://www.uwajima.org/spot/index8.html
70,愛媛県中山町（栃谷）,33.6458333,132.7325,愛媛県伊予市,https://iyokankou.jp/
71,愛媛県中山町（高岡）,33.6491666,132.7016666,愛媛県伊予市,https://iyokankou.jp/
72,愛媛県内子町（石畳）,33.6258333,132.6283333,愛媛県内子町,https://www.we-love-uchiko.jp/spot_suburbs/spot_k3/
73,高知県檮原町（神在居）,33.3913888,132.9527777,高知県檮原町,https://okushimanto.jp/archives/12205
74,福岡県苅田町（等覚寺）,33.7722222,130.9261111,福岡県苅田町,https://www.town.kanda.lg.jp/_3861/_3862/_3940.html
75,佐賀県東脊振村（下石動）,33.3566666,130.4063888,佐賀県吉野ヶ里町,https://www.town.yoshinogari.lg.jp/lifeinfo/sangyo_kanko/midokoro/647.html
76,佐賀県小城町（江里山）,33.3291666,130.1938888,佐賀県小城市,https://www.city.ogi.lg.jp/main/4895.html
77,佐賀県呼子町（加部島）,33.5558333,129.8836111,佐賀県唐津市,https://www.ikyu.com/kankou/arealist8381/
78,長崎県小浜町（木指）,32.7161111,130.1969444,長崎県雲仙市,https://www.nagasaki-tabinet.com/guide?rta%5B0%5D=12
79,長崎県厳原町（椎根）,34.2211111,129.1913888,長崎県対馬市,https://www.tsushima-net.org/?s=&post_type=tourism_history&area%5B%5D=izuharamachi&button=
80,熊本県阿蘇町（小野田）,32.9705555,131.0844444,熊本県阿蘇市,http://www.city.aso.kumamoto.jp/files/uploads/2014/04/sightseeing_map.pdf
81,熊本県矢部町（白糸）,32.6761111,130.9947222,熊本県山都町,https://www.town.kumamoto-yamato.lg.jp/kanko/
82,大分県緒方町（上自在）,32.9722222,131.4572222,大分県豊後大野市,https://oita-tomato.net/archives/1173
83,宮崎県国富町（高田原）,32.0266666,131.2836111,宮崎県国富町,http://www.town.kunitomi.miyazaki.jp/main/tourism/tourism_nature/page000463.html
84,宮崎県西郷村（峰）,32.4405555,131.4244444,宮崎県美郷町,https://www.town.miyazaki-misato.lg.jp/kiji003466/3_466_shiryou1_4cj0btsu.pdf
85,宮崎県日之影町（戸川）,32.7002777,131.4011111,宮崎県日之影町,http://www.yado.co.jp/kankou/miyazaki/takatiho/isigaki/isigaki.htm
86,鹿児島県喜界町（蒲生）,28.2961111,129.9802777,鹿児島県喜界町,https://utsukushii-mura.jp/map/kikai/
87,沖縄県伊平屋村（我喜屋）,27.0338888,127.9622222,沖縄県伊平屋村,http://www.vill.iheya.okinawa.jp/
88,沖縄県竹富町（大富）,24.2838888,123.8808333,沖縄県竹富町,https://painusimastory.ti-da.net/e3444532.html
89,沖縄県竹富町（竹富）,24.33,124.0852777,沖縄県竹富町,https://painusima.com/category/sima/taketomijima/
