No,名称,北緯,東経,所在地,Link
39,山の寺瞑想の道,37.0488888,136.9530555,石川県七尾市,https://www.hot-ishikawa.jp/spot/6686
40,気比の松原,35.6552777,136.0516666,福井県敦賀市,http://www.turuga.org/places/kehimatsubara/kehimatsubara.html
41,富士山北口散策,35.4411111,138.77,山梨県富士吉田市,https://www.fujisan-kyokai.jp/pdf/photo_cource_i_2010.pdf
42,オオムラサキ自然観察歩道,35.8266666,138.3652777,山梨県北杜市,https://www.city.hokuto.yamanashi.jp/docs/7798.html
43,信玄棒道コース,35.8744444,138.3163888,山梨県北杜市,http://www.tabinet-jp.com/trek/map/yt_kobuti_s.pdf
44,塩田平,36.3377777,138.1863888,長野県上田市,http://www.walkigram.net/shioda/
45,日本の原風景の旅,36.9322222,138.3877777,長野県飯山市,https://blog.nagano-ken.jp/magazine/various/440.html
46,赤沢自然休養林,35.7291666,137.6261111,長野県上松町,https://kiso-hinoki.jp/colibri-wp/tourist/akasawa/
47,中山道,35.5472222,137.5866666,長野県南木曽町,http://tumago.jp/walk/index.html
48,白馬小径,36.6961111,137.8633333,長野県白馬村,https://tabi-rin.com/wp-content/uploads/2018/05/00041.pdf
49,町並みと城址,35.3627777,137.4494444,岐阜県恵那市,https://www.kankou-gifu.jp/spot/1345/
50,濁河温泉自然探勝路,35.9225,137.4533333,岐阜県下呂市,http://www2.city.gero.lg.jp/HP/mori/kairou/2001nigorigo.pdf
51,箱根旧街道,35.1702777,139.005,静岡県三島市,https://www.city.mishima.shizuoka.jp/kanko_content002131.html
52,踊子歩道,34.7886111,138.9416666,静岡県伊豆市、河津町,http://kanko.city.izu.shizuoka.jp/form1.html?pid=3206
53,寸又峡渓谷,35.1811111,138.1122222,静岡県川根本町,https://www.surugawan.net/guide/35.html
54,美濃路,35.1927777,136.8588888,愛知県名古屋市、清須市,http://www.city.kiyosu.aichi.jp/smph/shisei_joho/shi_shokai/mizubenosansakuro.html
55,赤目四十八滝,34.5611111,136.0891666,三重県名張市,https://www.igaueno.net/?p=158
56,まちなみ,35.1444444,136.0911111,滋賀県近江八幡市,https://www.biwako-visitors.jp/spot/detail/907/
57,醒井湧くわく街道,35.3269444,136.3455555,滋賀県米原市,https://www.biwako-visitors.jp/guide/detail/36/
58,湖の辺の道,35.5044444,136.1836111,滋賀県長浜市,https://kitabiwako.jp/wp_sys/wp-content/uploads/2015/03/9a94893c18c73ceea81044834d90eb14.pdf
59,伏見地区,34.9325,135.7641666,京都府京都市,http://www.kyoto-park.or.jp/fushimi/map/
60,倉庫群と舞鶴湾,35.4744444,135.3830555,京都府舞鶴市,https://www.uminokyoto.jp/course/detail.php?cid=35
61,竹林かぐや姫の里,34.9555555,135.6888888,京都府向日市,https://www.muko-kankou.jp/recommend/detail.html?id=585
62,かやぶきと虹の湖,35.2652777,135.4619444,京都府南丹市,https://www.ohnodam.com/yuhodo.html
63,上町台地北,34.6769444,135.5172222,大阪府大阪市,https://www.city.osaka.lg.jp/kensetsu/cmsfiles/contents/0000008/8550/uematidaitikita_1.pdf
64,百舌鳥古墳群エリア,34.5583333,135.4841666,大阪府堺市,https://www.jr-odekake.net/navi/jr_hiking/hiking_book_01/asset/pdf/map1_osaka02.pdf
65,旧居留地と花の回廊,34.6883333,135.1930555,兵庫県神戸市,https://www.kobe-kyoryuchi.com/feature/
66,但馬の小京都,35.4613888,134.8744444,兵庫県豊岡市,https://www.izushi.co.jp/
67,今井寺内町,34.5069444,135.7866666,奈良県橿原市,https://www.city.kashihara.nara.jp/kankou/own_imai/kankou/imaichou/index.html
68,大和の古道紀行,34.5077777,135.8777777,奈良県桜井市,https://www3.pref.nara.jp/miryoku/aruku/secure/2278/map.pdf
69,曽爾高原,34.5233333,136.1477777,奈良県曽爾村,http://www.soni-kogen.com/hiking.html
70,明日香村一帯,34.4775,135.8191666,奈良県明日香村,https://asukadeasobo.jp/wp-content/themes/tmpl/img/upload/76d992dcff631d69631627e1692b40fb.pdf
71,熊野古道,33.8266666,135.6322222,和歌山県、奈良県、三重県,https://www.hongu.jp/kumanokodo/
72,浦富海岸,35.5902777,134.2997222,鳥取県岩美町,http://www.iwami.gr.jp/2473.htm
73,大山山麓淀江,35.4205555,133.4141666,鳥取県米子市,http://www.yonago-navi.jp/campaigns/bisuinosato/
74,智頭往来と智頭宿,35.2683333,134.2327777,鳥取県智頭町,http://cms.sanin.jp/p/chizu/kankou/aruku/area07/
75,散歩道,34.4683333,131.7744444,島根県津和野町,https://www.pref.shimane.lg.jp/infra/nature/shizen/shimane/chugokusizenhodo/tuwano.html
76,国賀海岸,36.1063888,132.9725,島根県西ノ島町,https://www.pref.shimane.lg.jp/infra/nature/shizen/shimane/shimane_kouen/kokuritu_kokutei/daisen-oki/oki-dozen/matenhodou.html
77,風の道,34.4425,133.7986111,岡山県倉敷市,https://tokuhain.arukikata.co.jp/okayama/2018/04/post_26.html
78,町並み保存地区,35.0816666,133.6908333,岡山県真庭市,https://www.city.maniwa.lg.jp/site/townscape-preservation-district-katsuyama/
79,呉の港,34.2422222,132.5527777,広島県呉市,https://www.city.kure.lg.jp/soshiki/67/m000254.html
80,萩往還,34.3636111,131.4166666,山口県萩市,http://www7a.biglobe.ne.jp/~yuji-tabisaki/hagi7.0.html
81,秋芳洞、秋吉台,34.2280555,131.3033333,山口県美祢市,https://akiyoshidai-park.com/map/
82,眉山,34.0680555,134.5375,徳島県徳島市,http://donichi.club/events/mayuyamamori
83,屋島,34.3575,134.1016666,香川県高松市,http://www1.odn.ne.jp/suiton/tozan.html
84,塩飽本島,34.3894444,133.7841666,香川県丸亀市,http://natsumomohana.lovesick.jp/honjima271010.html
85,肱南の町並み,33.5075,132.5488888,愛媛県大洲市,https://www.city.ozu.ehime.jp/soshiki/hoken-c/31961.html
86,天狗高原,33.4772222,133.0047222,高知県津野町,https://niyodogawa.org/blog/niyodogawa/spot/14425/
87,門司港レトロ,33.9463888,130.9613888,福岡県北九州市,https://www.mojiko.info/pdf/guidemap.pdf
88,弥生の里から水の郷,33.3502777,130.3655555,佐賀県神埼市,http://saga.syokyu.com/sanpo351s92kanzakiuo-kingu.html
89,蕨野地区の棚田,33.2944444,130.0344444,佐賀県唐津市,https://www.pref.saga.lg.jp/kiji00320876/index.html
90,国民公園都市,32.7894444,130.3697222,長崎県島原市,http://nihon100sen.travel.coocan.jp/yuuho/kyusyu/kokuminkouen/kokuminkouen.htm
91,尾平自然散策路,32.8213888,131.3819444,大分県豊後大野市,http://www7b.biglobe.ne.jp/~fukuokahatu/harazirinotaki.html
92,三之宮峡,32.03,131.0022222,宮崎県小林市,http://kankou-kobayashi.jp/publics/index/59/
93,歴史的町並みと海岸,32.3275,131.6030555,宮崎県日向市,http://www.hyugacity.jp/display.php?cont=160616150810
94,野仏の里と神話,32.7341666,131.3511111,宮崎県高千穂町,https://www.pref.miyazaki.lg.jp/contents/org/kankyo/shizen/trekking/trekking/tre_01_takachiho_1.html
95,渓谷トロッコ道,32.6608333,131.3916666,宮崎県日之影町,https://www.pref.miyazaki.lg.jp/contents/org/kankyo/shizen/trekking/trekking/tre_02_hinokage_1.html
96,鞍岳遊歩,32.9477777,130.9116666,熊本県菊池市,https://www.shikinosato.sh-yuwa.com/kuradake
97,溶岩渚遊歩道,31.5908333,130.5938888,鹿児島県鹿児島市,http://www.sakurajima.gr.jp/tourism/000355.html
98,大川原峡悠久の森,31.7752777,130.9291666,鹿児島県曽於市,http://www.kagoshima-tetsudo.com/pdf/nipou03.pdf
99,バンナ公園,24.3808333,124.1741666,沖縄県石垣市,https://okinawa-labo.com/banna-park-6023
100,グスクロード,26.1438888,127.7747222,沖縄県南城市,http://www.kankou-nanjo.okinawa/tokusyu/view/park
